Meren Energy	SEK	12.88	+0.196	+1.54%	12.84	12.856	854,028	10,930,357	18:00:00
Micro Systemation B	SEK	60.40	-1.60	-2.58%	60.40	61.00	7,618	466,379	18:00:00
Midsona A	SEK	10.60	0.00	0.00%			118	1,250	18:00:00
Midsona B	SEK	8.62	-0.50	-5.48%	8.62	8.74	211,494	1,846,588	18:00:00
Mildef Group	SEK	149.80	+4.80	+3.31%	150.50	151.10	893,713	136,228,671	18:00:00
Mips	SEK	330.20	-3.60	-1.07%	330.60	331.00	28,347	9,389,324	18:00:00
Moberg Pharma	SEK	9.50	-0.04	-0.41%	9.38	9.45	102,622	970,889	18:00:00
Modern Times Group A	SEK	110.00	0.00	0.00%			4	440	18:00:00
Modern Times Group B	SEK	108.00	-1.80	-1.63%	108.10	108.20	158,289	17,114,421	18:00:00
Moment Group	SEK	5.44	-0.18	-3.20%	5.44	5.54	2,441	13,436	18:00:00
Momentum Group B	SEK	145.00	-1.40	-0.95%	144.40	145.20	175,687	25,419,310	18:00:00
Morrow Bank	SEK	13.70	-0.30	-2.14%	13.75	13.85	969,784	13,413,952	18:00:00
Munters Group	SEK	173.40	+2.80	+1.64%	173.80	174.10	530,934	92,097,897	18:00:00
Mycronic	SEK	216.10	+2.00	+0.93%	216.50	217.00	243,454	52,521,229	18:00:00
mySafety Group B	SEK	19.66	+0.34	+1.75%	19.10	19.68	58,389	1,115,385	18:00:00
Nanologica	SEK	0.636	-0.012	-1.85%	0.622	0.636	217,365	136,217	18:00:00
NAXS	SEK	40.00	+0.10	+0.25%	40.00	40.50	3,925	157,482	18:00:00
NCAB Group	SEK	49.60	+3.00	+6.43%	49.56	49.80	567,337	28,211,880	18:00:00
NCC A	SEK	231.00	+1.00	+0.43%	229.00	231.00	1,895	435,240	18:00:00
NCC B	SEK	230.00	+1.80	+0.78%	229.80	230.20	114,777	26,363,557	18:00:00
Nederman Holding	SEK	160.80	+0.40	+0.24%	160.80	161.60	7,432	1,194,210	18:00:00
Nelly Group	SEK	111.40	-4.80	-4.13%	111.40	112.00	167,971	18,873,872	18:00:00
Neobo Fastigheter	SEK	19.34	-0.22	-1.12%	19.18	19.29	471,212	9,173,976	18:00:00
Net Insight B	SEK	3.52	-0.14	-3.82%	3.515	3.525	812,861	2,867,147	18:00:00
Netel Holding	SEK	4.54	+0.03	+0.66%	4.55	4.605	73,213	336,012	18:00:00
New Wave B	SEK	116.80	-1.40	-1.18%	116.80	117.00	150,222	17,622,227	18:00:00
NIBE Industrier B	SEK	37.00	-0.19	-0.51%	37.16	37.18	7,504,131	277,099,656	18:00:00
Nilörngruppen B	SEK	65.90	+0.80	+1.22%	65.50	66.00	13,934	906,252	18:00:00
Nivika Fastigheter B	SEK	43.40	-0.05	-0.11%	42.95	43.45	21,590	928,197	18:00:00
NOBA Bank Group	SEK	118.22	-6.58	-5.27%	118.18	118.56	386,554	45,864,685	18:00:00
